Year,Week,DateId,Team,Opp,Position,Player,PassAtt,PassCom,PassYds,PassTD,PassINT,Pass300,RushAtt,RushYds,RushTD,Rush100,RecCatches,RecYds,RecTD,Rec100,FumL,TwoPT,DefYardsTotal,DefPointsTotal,DefSk,DefINT,DefFF,DefFR,DefTD,DefSft,DefBlk,DefReturnTD,FantasyPointsDraftKings,FantasyPointsFanDuel
2019,17,20191229,TB,vs ATL,WR,Breshad Perriman,0,0,0,0,0,0,0,0,0,0,4.3,63.21,0.43,0.19,0.04,0,0,0,0,0,0,0,0,0,0,0,13.7,11
2019,17,20191229,TB,vs ATL,WR,Chris Godwin,0,0,0,0,0,0,0.03,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,TB,vs ATL,WR,Ishmael Hyman,0,0,0,0,0,0,0,0,0,0,2.1,26.25,0.14,0,0.02,0,0,0,0,0,0,0,0,0,0,0,5.5,4.5
2019,17,20191229,TB,vs ATL,WR,Justin Watson,0,0,0,0,0,0,0,0,0,0,4.1,51.25,0.36,0.09,0.04,0,0,0,0,0,0,0,0,0,0,0,11.6,9.3
2019,17,20191229,TB,vs ATL,WR,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,TB,vs ATL,WR,Scott Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,TEN,@ HOU,D,Tennessee Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.17,18,2.6,0.95,1.28,0.56,0.22,0.05,0.07,0.04,8.4,8.4
2019,17,20191229,TEN,@ HOU,FB,Khari Blasingame,0,0,0,0,0,0,0.3,1.14,0,0,0.3,2.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.6
2019,17,20191229,TEN,@ HOU,K,Gregory Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,8.8
2019,17,20191229,TB,vs ATL,QB,Blaine Gabbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,TB,vs ATL,QB,Ryan Griffin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,TEN,@ HOU,RB,Dalyn Dawkins,0,0,0,0,0,0,0.3,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
2019,17,20191229,TEN,@ HOU,RB,Derrick Henry,0,0,0,0,0,0,19.9,89.55,0.68,0.42,1.1,8.03,0.07,0,0.14,0.02,0,0,0,0,0,0,0,0,0,0,16.5,14.6
2019,17,20191229,TEN,@ HOU,RB,Dion Lewis,0,0,0,0,0,0,4.5,16.65,0.11,0,1.8,12.6,0.09,0,0.05,0.01,0,0,0,0,0,0,0,0,0,0,5.9,4.9
2019,17,20191229,TEN,@ HOU,TE,Anthony Firkser,0,0,0,0,0,0,0,0,0,0,1.2,14.4,0.12,0,0.01,0,0,0,0,0,0,0,0,0,0,0,3.4,2.7
2019,17,20191229,TEN,@ HOU,TE,Delanie Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
